id;theme;terme_prefere;definition;synonymes_usage;termes_obsoletes;faux_amis;corpus_ERP;corpus_CT;corpus_HAB;autres_sources;variables_determinantes;niveau_normativite;stade;profils;note_preventionniste;confiance_reference;VALIDATION_EXPERT
NOT-0067;T7 — Vocabulaire propre au code du travail;document unique d'évaluation des risques professionnels;Document transcrivant les résultats de l'évaluation des risques, dont le risque incendie et explosion.;DU | DUER | document unique | l'évaluation des risques;;;;L. 4121-3 | L. 4121-3-1;;;;reglementaire;exploitation;dirigeant;;haute;
NOT-0068;T7 — Vocabulaire propre au code du travail;atmosphère explosive;Mélange susceptible de former une atmosphère explosive, imposant un classement en zones.;ATEX | zone ATEX | risque d'explosion | poussières | vapeurs;;;;R. 4227-42 et s. | R. 4216-31;;;nature_risque;reglementaire;conception | exploitation;dirigeant;;haute;
NOT-0069;T7 — Vocabulaire propre au code du travail;document relatif à la protection contre les explosions;Document formalisant l'évaluation du risque d'explosion et les mesures retenues.;DRPCE | le document ATEX | dossier ATEX;;;;R. 4227-42 et s.;;;;reglementaire;exploitation;dirigeant;;a_verifier;
NOT-0070;T7 — Vocabulaire propre au code du travail;travaux par point chaud;Travaux générant des sources d'inflammation, relevant des travaux dangereux soumis à plan de prévention.;permis de feu | soudure | meulage | découpe;;;;R. 4512-6 | R. 4512-7;;arrêté du 19/03/1993;;reglementaire;exploitation;dirigeant;Le permis de feu lui-même n'est pas un terme réglementaire : la règle est le plan de prévention écrit.;haute;
NOT-0071;T7 — Vocabulaire propre au code du travail;travailleurs chargés de la mise en œuvre des moyens de premiers secours;Personnes désignées par l'employeur pour mettre en œuvre les moyens d'extinction et diriger l'évacuation.;EPI | équipier de première intervention | ESI | équipier de seconde intervention | guide-file | serre-file | les référents incendie;;;;R. 4227-38;;;;usage_professionnel;exploitation;dirigeant;EPI, ESI, guide-file et serre-file relèvent du vocabulaire assureur et INRS, non du code. Chercher la formule longue.;a_verifier;
NOT-0072;T7 — Vocabulaire propre au code du travail;essais et exercices périodiques;Exercices d'évacuation et essais des matériels, organisés au moins tous les six mois.;exercice d'évacuation | exercice incendie | on fait sonner l'alarme;;;;R. 4227-39;;;;reglementaire;exploitation;dirigeant;;haute;
NOT-0073;T7 — Vocabulaire propre au code du travail;formation à la sécurité;Formation pratique et appropriée relative aux conditions de circulation et au comportement en cas d'incendie.;formation incendie | formation extincteur | sensibilisation;;;;L. 4141-2 | R. 4141-3 | R. 4141-3-1 | L. 4154-2;;;;reglementaire;exploitation;dirigeant;;haute;
NOT-0074;T7 — Vocabulaire propre au code du travail;local de charge d'accumulateurs;Local affecté à la charge de batteries, soumis à des exigences de ventilation liées au dégagement d'hydrogène.;local de charge | charge des chariots | batteries | lithium;;;;R. 4227-22 et s.;;;nature_risque;reglementaire;conception | exploitation;dirigeant;;a_verifier;
NOT-0075;T7 — Vocabulaire propre au code du travail;matières inflammables;Substances dont l'emploi et le stockage en local de travail sont limités en quantité.;produits inflammables | solvants | bidons | stockage de produits;;;;R. 4227-20 à R. 4227-27;;;nature_risque;reglementaire;conception | exploitation;dirigeant;;a_verifier;
NOT-0076;T7 — Vocabulaire propre au code du travail;référentiel assureur;Prescriptions techniques d'origine contractuelle, dépourvues de portée réglementaire.;APSAD | règle R1 | règle R4 | R7 | exigence de l'assurance | CNPP;;;;;;référentiels CNPP | conditions particulières du contrat;;contractuel;exploitation;dirigeant | gestionnaire;Distinction structurante : le système doit toujours qualifier le fondement d'une exigence avant d'y répondre.;haute;
NOT-0077;T7 — Vocabulaire propre au code du travail;mise en demeure;Acte par lequel l'agent de contrôle enjoint à l'employeur de se conformer, préalablement au procès-verbal.;l'inspection du travail m'a mis un papier | j'ai reçu un courrier | observation;;;;L. 4721-1 | L. 4731-1 | L. 4732-1 | L. 4741-1;;;;reglementaire;exploitation;dirigeant;;haute;
NOT-0078;T7 — Vocabulaire propre au code du travail;registres et documents de santé et sécurité;Ensemble des registres et documents tenus à disposition de l'agent de contrôle.;registre de sécurité | le classeur | les rapports;;registre de sécurité [ERP] : le registre de sécurité ERP a un contenu et un fondement distincts;;L. 4711-1 et s.;;;;reglementaire;exploitation;dirigeant;;a_verifier;
NOT-0079;T7 — Vocabulaire propre au code du travail;consultation du comité social et économique;Obligation de consulter le CSE sur les projets touchant aux conditions de santé et de sécurité.;CSE | les représentants du personnel | CHSCT;CHSCT -> CSE (2020-01-01);;;L. 2312-8 | L. 2312-9 | L. 2312-27;;;;reglementaire;exploitation;dirigeant;;a_verifier;
NOT-0080;T8 — Vocabulaire propre à l'habitation et au rapport locatif;logement décent;Logement ne présentant pas de risque manifeste pour la sécurité physique et la santé des occupants.;décence | logement indécent | insalubre | logement dangereux;;insalubrité [CSP] : police distincte de la décence, relevant de la santé publique | péril [CCH] : remplacé depuis 2021 par la police de la sécurité des immeubles (L. 511-1 et s.);;;;loi n° 89-462 art. 6 | décret n° 2002-120 | CCH L. 511-1 et s.;;reglementaire;exploitation;gestionnaire;Trois polices à ne jamais confondre : décence (civil), insalubrité (santé), sécurité des immeubles (CCH).;haute;
NOT-0081;T8 — Vocabulaire propre à l'habitation et au rapport locatif;charges locatives récupérables;Dépenses limitativement énumérées pouvant être refacturées au locataire.;charges récupérables | je peux refacturer | charges locatives;;;;;;décret n° 87-713 du 26/08/1987;;reglementaire;exploitation;gestionnaire;;haute;
NOT-0082;T8 — Vocabulaire propre à l'habitation et au rapport locatif;obligation de souffrir les travaux;Obligation du locataire de permettre l'accès pour la réalisation des travaux nécessaires.;le locataire refuse l'accès | il ne me laisse pas rentrer | droit de visite;;;;;;loi n° 89-462 art. 7 e);;reglementaire;exploitation;gestionnaire;;haute;
NOT-0083;T8 — Vocabulaire propre à l'habitation et au rapport locatif;hébergement et relogement;Obligations pesant sur le propriétaire lorsque les locaux deviennent impropres à l'habitation.;relogement après incendie | où je mets mes locataires | suspension du loyer;;;;;;CCH L. 521-1 et s.;;reglementaire;exploitation;gestionnaire;;haute;
NOT-0084;T8 — Vocabulaire propre à l'habitation et au rapport locatif;local d'entreposage des ordures ménagères;Local recevant les conteneurs, soumis à des exigences d'isolement et de ventilation.;local poubelles | local OM | vide-ordures | local déchets;;;;;arr. 31/01/1986 art. 78 et s.;règlement sanitaire départemental;;reglementaire;conception | exploitation;gestionnaire;;a_verifier;
NOT-0085;T8 — Vocabulaire propre à l'habitation et au rapport locatif;parc de stationnement couvert;Parc lié à un bâtiment, soumis à des règles propres d'isolement, de ventilation et de désenfumage.;parking souterrain | le sous-sol | garage collectif | box;;;dispositions particulières type PS;;arr. 31/01/1986 art. 77 et s.;nomenclature ICPE rubrique 2935 (selon seuils);surface_local | niveau_local;reglementaire;conception | exploitation;architecte | gestionnaire;;a_verifier;
NOT-0086;T8 — Vocabulaire propre à l'habitation et au rapport locatif;infrastructure de recharge pour véhicules électriques;Équipement de recharge, soumis à des obligations de pré-équipement et à des prescriptions d'implantation.;borne de recharge | IRVE | recharger les voitures électriques | wallbox;;;;;;CCH L. 113-11 et s. | CCH R. 113-x | arrêtés d'application;niveau_local;reglementaire;conception | exploitation;architecte | gestionnaire;Sujet en évolution rapide : vérifier systématiquement la version en vigueur et les positions départementales.;a_verifier;
NOT-0087;T8 — Vocabulaire propre à l'habitation et au rapport locatif;pouvoirs de police du maire;Fondement du contrôle de la sécurité des bâtiments d'habitation, à défaut de commission de sécurité.;qui contrôle mon immeuble | la mairie peut-elle intervenir | arrêté municipal;;;;;;CGCT L. 2212-2 | CCH L. 511-1 et s.;;reglementaire;exploitation;gestionnaire;;haute;
NOT-0088;T8 — Vocabulaire propre à l'habitation et au rapport locatif;règlement sanitaire départemental;Texte préfectoral régissant notamment l'entreposage, la salubrité et l'usage des locaux d'habitation.;RSD | le règlement du département | salubrité;;;;;;RSD type | arrêté préfectoral départemental;;reglementaire;exploitation;gestionnaire;Souvent la seule base opposable pour traiter les stockages et encombrements en habitation.;a_verifier;
NOT-0089;T9 — Procédure, contrôle, traçabilité;notice descriptive de sécurité;Pièce du dossier d'autorisation exposant les dispositions de sécurité retenues.;notice de sécurité | le dossier sécurité | la notice;;;GE 1 et s.;;;CCH R. 143-24 et s. (ex-R. 123-22);;reglementaire;conception;architecte;;a_verifier;
NOT-0090;T9 — Procédure, contrôle, traçabilité;autorisation de travaux;Autorisation préalable requise pour la construction, l'aménagement ou la modification d'un ERP.;AT | permis pour l'ERP | demande d'autorisation;;;;;;CCH R. 143-24 et s. (ex-R. 123-22);;reglementaire;conception;architecte;;a_verifier;
NOT-0091;T9 — Procédure, contrôle, traçabilité;commission de sécurité;Organe consultatif examinant les dossiers et visitant les établissements recevant du public.;la commission | le passage des pompiers | visite de sécurité;;;GE 2 et s.;;;CCH R. 143-1 et s.;;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;N'existe ni en code du travail, ni pour l'habitation ordinaire. Réponse d'absence à produire explicitement.;haute;
NOT-0092;T9 — Procédure, contrôle, traçabilité;autorisation d'ouverture au public;Décision de l'autorité de police autorisant l'ouverture après avis de la commission.;l'autorisation d'ouvrir | avis favorable | réception;;;;;;CCH R. 143-38 et s. (ex-R. 123-45);;reglementaire;exploitation;architecte | dirigeant;;a_verifier;
NOT-0093;T9 — Procédure, contrôle, traçabilité;registre de sécurité;Document consignant les vérifications, travaux et exercices, tenu par l'exploitant.;le registre | le classeur sécurité | le cahier;;;GE 2 et s.;L. 4711-1 et s. (registres et documents, périmètre distinct);;CCH R. 143-34 (ex-R. 123-51);;reglementaire;exploitation;architecte | dirigeant | gestionnaire;Aucune obligation générale équivalente en habitation ordinaire : y construire une traçabilité de fait.;haute;
NOT-0094;T9 — Procédure, contrôle, traçabilité;vérifications techniques;Contrôles périodiques des installations par des personnes ou organismes qualifiés ou agréés.;contrôle annuel | visite de maintenance | vérif périodique | le bureau de contrôle;;;GE 6 à GE 10;R. 4224-17 | R. 4226-14 et s.;dispersé : gaz, ascenseurs, électricité des parties communes;;;reglementaire;exploitation;architecte | dirigeant | gestionnaire;;haute;
NOT-0095;T9 — Procédure, contrôle, traçabilité;rapport de vérification réglementaire;Document établi à l'issue d'une vérification, consignant les observations.;RVRAT | RVRE | rapport du bureau de contrôle | le rapport de vérif;;;GE 6 à GE 10;R. 4224-17;;;;usage_professionnel;exploitation;architecte | dirigeant | gestionnaire;RVRAT est un sigle de bureau de contrôle, non un terme réglementaire : convertir avant recherche.;a_verifier;
NOT-0096;T9 — Procédure, contrôle, traçabilité;coordonnateur du système de sécurité incendie;Intervenant assurant la cohérence du SSI de la conception à la réception.;coordonnateur SSI | le coordo | mission SSI;;;MS 53 et s.;;;norme NF S 61-931;;normatif;conception;architecte;Obligation d'origine normative relayée par le règlement : qualifier le fondement.;a_verifier;
