id;profil;question_utilisateur;reformulation_normative;corpus_attendu;articles_attendus;notions_attendues;notions_ids;variables_requises;comportement_attendu;difficulte;commentaire_evaluateur;VALIDATION_EXPERT;REPONSE_SYSTEME
REF-E-39;dirigeant;Quels affichages sont obligatoires ?;Quels documents sont affichés dans l'établissement et selon quelles exigences de signalisation ?;CT;R. 4227-37|R. 4227-38|arrêté du 04/11/1993;consigne de sécurité incendie;NOT-0066;;repondre;1;;;
REF-E-40;dirigeant;Que doit contenir ma consigne incendie ?;Quelles mentions la consigne de sécurité incendie comporte-t-elle obligatoirement ?;CT;R. 4227-37|R. 4227-38;consigne de sécurité incendie;NOT-0066;;repondre;1;;;
REF-E-41;dirigeant;Dois-je nommer des guides-files et serre-files ?;Selon quelles modalités sont désignés les travailleurs chargés de la mise en œuvre des moyens de premiers secours et de l'évacuation ?;CT;R. 4227-38;travailleurs chargés de la mise en œuvre des moyens de premiers secours;NOT-0071;effectif_travailleurs;signaler_non_reglementaire;2;Les termes guide-file / serre-file ne figurent pas dans le code.;;
REF-E-42;dirigeant;Quelle formation incendie est obligatoire ?;Quelle formation à la sécurité relative au comportement en cas d'incendie l'employeur dispense-t-il ?;CT;L. 4141-2|R. 4141-3|R. 4141-3-1;formation à la sécurité;NOT-0073;;repondre;1;;;
REF-E-43;dirigeant;L'exercice d'évacuation tous les six mois s'applique à moi ?;Selon quelle périodicité les essais et exercices d'évacuation sont-ils organisés et tracés ?;CT;R. 4227-39;essais et exercices périodiques|registres et documents de santé et sécurité;NOT-0072|NOT-0078;;repondre;1;;;
REF-E-44;dirigeant;Comment intégrer les intérimaires et les nouveaux ?;Quelle formation renforcée est dispensée aux salariés temporaires affectés à des postes à risques particuliers ?;CT;L. 4154-2|R. 4141-3-1;formation à la sécurité|effectif (décompte code du travail);NOT-0073|NOT-0004;;repondre;2;;;
REF-E-45;dirigeant;Y a-t-il un lien entre mes SST et mon organisation incendie ?;Selon quelles modalités l'organisation des secours d'urgence est-elle articulée avec la lutte contre l'incendie ?;CT;R. 4224-14 à R. 4224-16|R. 4227-38;travailleurs chargés de la mise en œuvre des moyens de premiers secours;NOT-0071;;repondre;2;;;
REF-E-46;dirigeant;Quelles vérifications périodiques dois-je faire faire ?;Quelles installations font l'objet de vérifications périodiques et par quelles personnes qualifiées ?;CT;R. 4224-17|R. 4226-14 et s.;vérifications techniques|rapport de vérification réglementaire;NOT-0094|NOT-0095;;repondre;1;;;
REF-E-47;dirigeant;Le registre de sécurité est-il obligatoire hors ERP ?;Quels registres et documents l'employeur tient-il à la disposition de l'agent de contrôle ?;CT;L. 4711-1 et s.;registres et documents de santé et sécurité|registre de sécurité;NOT-0078|NOT-0093;;orienter_corpus;2;Faux ami : le registre de sécurité ERP a un fondement distinct.;;
REF-E-48;dirigeant;Que se passe-t-il si je ne lève pas les réserves du rapport ?;Quelles conséquences s'attachent à l'absence de suite donnée aux observations d'un rapport de vérification ?;CT;L. 4121-1|R. 4224-17;rapport de vérification réglementaire|vérifications techniques;NOT-0095|NOT-0094;;repondre;3;Réponse à borner : effets sur la faute et sur la garantie.;;
REF-E-49;dirigeant;Je réaménage mes plateaux, dois-je refaire une analyse ?;À l'occasion de quelles modifications l'employeur procède-t-il à une nouvelle évaluation des risques ?;CT;L. 4121-3;document unique d'évaluation des risques professionnels|dégagement|désenfumage;NOT-0067|NOT-0034|NOT-0048;existant_ou_neuf;repondre;2;;;
REF-E-50;dirigeant;Que dois-je pouvoir montrer en cas de contrôle ?;Quels éléments l'employeur doit-il produire pour justifier de l'exécution de ses obligations et pendant quelles durées ?;CT;L. 4711-1 et s.|R. 4224-17;registres et documents de santé et sécurité|vérifications techniques;NOT-0078|NOT-0094;;repondre;2;Intention de type « que dois-je pouvoir prouver » : format de réponse spécifique.;;
REF-G-01;gestionnaire;Mon immeuble est en quelle famille ?;Selon quels critères les bâtiments d'habitation sont-ils classés en familles ?;HAB;arr. 31/01/1986 art. 3;famille;NOT-0005;nb_niveaux|hauteur_plancher_bas;demander_precision;1;Item pivot : sans famille, rien n'est calculable.;;
REF-G-02;gestionnaire;Quel texte s'applique à un immeuble de 1972 ?;Quelles dispositions sont applicables au regard de la date de délivrance du permis de construire ?;HAB;arr. 31/01/1986|arrêté du 10/09/1970;application aux bâtiments existants|famille;NOT-0009|NOT-0005;date_effet;demander_precision;3;;;
REF-G-03;gestionnaire;Dois-je mettre mon parc ancien aux normes actuelles ?;Les dispositions sont-elles applicables aux bâtiments achevés antérieurement et quels travaux les rendent applicables ?;HAB;arr. 31/01/1986 — dispositions transitoires;application aux bâtiments existants;NOT-0009;date_effet|existant_ou_neuf;repondre;3;;;
REF-G-04;gestionnaire;À partir de quelle hauteur je bascule en IGH ?;À partir de quelle hauteur un bâtiment d'habitation relève-t-il du régime des immeubles de grande hauteur ?;IGH|HAB;CCH L. 146-1 et s.|arrêté du 30/12/2011;immeuble de grande hauteur;NOT-0008;hauteur_plancher_bas;repondre;1;Seuil de 50 m en habitation, à ne pas confondre avec 28 m.;;
REF-G-05;gestionnaire;J'ai une crèche en pied d'immeuble : qui fait quoi ?;Quels degrés d'isolement sont exigés entre logements et ERP et selon quelle répartition des obligations ?;HAB|ERP;arr. 31/01/1986 art. 5|CO 6 à CO 10;tiers contigu ou superposé|type d'exploitation;NOT-0007|NOT-0001;famille_habitation|type_erp;orienter_corpus;2;;;
REF-G-06;gestionnaire;Je transforme des bureaux en logements : quel référentiel ?;Quel référentiel est applicable au changement de destination et emporte-t-il mise en conformité de l'existant ?;HAB;arr. 31/01/1986|CCH R. 142-1 et s.;application aux bâtiments existants|famille;NOT-0009|NOT-0005;date_effet|existant_ou_neuf;repondre;3;;;
REF-G-07;gestionnaire;Quel coupe-feu pour mes planchers ? Je n'ai aucun PV.;Quels degrés de résistance au feu sont exigés des planchers et parois séparatives et comment l'apprécier sans PV d'origine ?;HAB;arr. 31/01/1986 art. 7 et s.;résistance au feu|procès-verbal de classement|famille;NOT-0020|NOT-0022|NOT-0005;famille_habitation;demander_precision;3;Conversion « coupe-feu » + variable famille manquante.;;
REF-G-08;gestionnaire;Un locataire a changé sa porte palière, c'est un problème ?;À partir de quelle famille les blocs-portes paliers présentent-ils un degré pare-flamme déterminé ?;HAB;arr. 31/01/1986 art. 11|arr. 31/01/1986 art. 27;bloc-porte palier|résistance au feu;NOT-0033|NOT-0020;famille_habitation;repondre;2;;;
REF-G-09;gestionnaire;La fibre a percé mes gaines partout, que faire ?;Quelles règles de recoupement s'appliquent aux gaines et trémies et comment vérifier l'intégrité des calfeutrements ?;HAB;arr. 31/01/1986 art. 25 et s.;gaine technique|calfeutrement de traversée;NOT-0027|NOT-0025;famille_habitation;repondre;2;Défaut le plus fréquent en patrimoine.;;
REF-G-10;gestionnaire;Je fais une ITE : quelles règles incendie ?;Quelles exigences relatives à la propagation par les façades s'appliquent à un ITE comportant un isolant combustible ?;HAB;instruction technique n° 249;système d'isolation thermique par l'extérieur|propagation du feu par les façades;NOT-0019|NOT-0018;famille_habitation;repondre;3;;;
REF-G-11;gestionnaire;Les locataires ferment leurs loggias, je peux l'interdire ?;La fermeture d'une loggia est-elle de nature à modifier le comportement au feu de la façade ?;HAB;instruction technique n° 249|loi n° 89-462 art. 7;propagation du feu par les façades|obligation de souffrir les travaux;NOT-0018|NOT-0082;famille_habitation;orienter_corpus;3;Réponse technique + fondement contractuel.;;
REF-G-12;gestionnaire;J'installe du photovoltaïque en toiture : quelles précautions ?;Quelles exigences s'appliquent aux installations photovoltaïques équipant un bâtiment d'habitation ?;HAB;arr. 31/01/1986|guides et avis techniques;local à risques particuliers;NOT-0024;famille_habitation|date_effet;orienter_expertise;3;Corpus incomplet : orienter vers avis SDIS et assureur.;;
REF-G-13;gestionnaire;Mes caves sont encombrées, quel isolement exigé ?;Quels degrés d'isolement sont exigés entre les caves et les escaliers et quelles obligations quant aux dépôts ?;HAB;arr. 31/01/1986|règlement sanitaire départemental;maintien des dégagements libres|règlement sanitaire départemental;NOT-0044|NOT-0088;famille_habitation;repondre;2;;;
REF-G-14;gestionnaire;Un seul escalier, c'est admis ?;Dans quels cas la desserte des logements par un escalier unique est-elle admise et quelle distance maximale s'applique ?;HAB;arr. 31/01/1986 art. 27 et s.|arr. 31/01/1986 art. 12;escalier unique|distance à parcourir;NOT-0040|NOT-0041;famille_habitation;demander_precision;2;;;
REF-G-15;gestionnaire;Mon escalier n'est ni encloisonné ni à l'air libre, que faire ?;Selon la famille, l'escalier est-il à l'air libre, encloisonné ou désenfumé, et quelles mesures compensatoires envisager ?;HAB;arr. 31/01/1986 art. 27 et s.;escalier encloisonné|escalier à l'air libre|mesure compensatoire;NOT-0038|NOT-0039|NOT-0011;famille_habitation;orienter_expertise;3;;;
REF-G-16;gestionnaire;Les halls sont pleins de poussettes et de vélos, que puis-je faire ?;Quelles obligations pèsent sur le propriétaire quant au maintien des circulations communes libres de tout dépôt ?;HAB;arr. 31/01/1986|règlement sanitaire départemental|loi n° 89-462;maintien des dégagements libres|règlement sanitaire départemental|circulation horizontale;NOT-0044|NOT-0088|NOT-0037;;orienter_corpus;2;Le fondement n'est pas constructif mais sanitaire et contractuel.;;
REF-G-17;gestionnaire;Mes portes de hall sont verrouillées : les pompiers peuvent-ils entrer ?;Quels dispositifs de contrôle d'accès peuvent équiper les parties communes sans faire obstacle à l'intervention des secours ?;HAB;arr. 31/01/1986|dispositions départementales;verrouillage des issues|pouvoirs de police du maire;NOT-0043|NOT-0087;famille_habitation;repondre;2;Le dispositif d'accès pompiers relève souvent d'une doctrine départementale.;;
REF-G-18;gestionnaire;Dois-je dire aux locataires de rester chez eux ou d'évacuer ?;Quelles consignes doivent être portées à la connaissance des occupants selon le lieu du sinistre ?;HAB;arr. 31/01/1986;consigne de sécurité incendie|famille;NOT-0066|NOT-0005;famille_habitation;repondre;2;La doctrine du maintien dans le logement dépend du niveau de compartimentage réel.;;
REF-G-19;gestionnaire;Puis-je recenser mes locataires handicapés pour les pompiers ?;Selon quelles modalités la présence d'occupants à mobilité réduite peut-elle être portée à la connaissance des secours ?;HAB|RGPD;RGPD|CCH;évacuation différée;NOT-0047;;orienter_expertise;3;Question mixte sécurité / données personnelles : hors corpus incendie.;;
REF-G-20;gestionnaire;Le désenfumage des circulations est-il obligatoire ?;À partir de quelle famille le désenfumage des circulations communes et des escaliers est-il exigé ?;HAB;arr. 31/01/1986 art. 30 et s.;désenfumage|circulation horizontale|famille;NOT-0048|NOT-0037|NOT-0005;famille_habitation;demander_precision;2;;;
REF-G-21;gestionnaire;À quelle fréquence vérifier les exutoires ?;Selon quelles périodicités les dispositifs d'évacuation de fumées et leurs commandes sont-ils vérifiés ?;HAB;arr. 31/01/1986|contrats de maintenance;dispositif d'évacuation naturelle de fumées et de chaleur|vérifications techniques;NOT-0049|NOT-0094;famille_habitation;repondre;2;Périodicité peu normée en habitation : le signaler.;;
REF-G-22;gestionnaire;Ma VMC gaz, quel contrôle et à quelle fréquence ?;Quel dispositif de sécurité équipe une VMC desservant des appareils à gaz et selon quelle périodicité est-il contrôlé ?;HAB;arrêté du 23/02/2018;dispositif de sécurité collective (VMC gaz)|vérifications techniques;NOT-0053|NOT-0094;;repondre;2;;;
REF-G-23;gestionnaire;Le ramonage, c'est moi ou le locataire ?;Selon quelle répartition les obligations d'entretien et de ramonage incombent-elles au propriétaire et à l'occupant ?;HAB;décret n° 87-712|règlement sanitaire départemental;conduit de fumée|charges locatives récupérables;NOT-0054|NOT-0081;qualite_demandeur;orienter_corpus;2;Réponse hors CCH.;;
REF-G-24;gestionnaire;Comment savoir si mes clapets existent encore ?;Quelles exigences s'appliquent aux dispositifs d'obturation des traversées et comment établir leur état ?;HAB;arr. 31/01/1986 art. 25 et s.;clapet coupe-feu|calfeutrement de traversée|gaine technique;NOT-0026|NOT-0025|NOT-0027;famille_habitation;repondre;3;;;
REF-G-25;gestionnaire;Qui installe et qui entretient les détecteurs de fumée ?;Selon quelles modalités le propriétaire équipe-t-il chaque logement d'un détecteur de fumée normalisé ?;HAB;CCH L. 142-2 et s.|arrêté du 05/02/2013|décret n° 2011-36;détecteur de fumée normalisé;NOT-0060;qualite_demandeur;repondre;1;Item pivot du corpus habitation.;;
REF-G-26;gestionnaire;Un locataire a débranché son détecteur, que faire ?;Quelles suites peuvent être données à la mise hors service d'un détecteur par l'occupant ?;HAB;CCH L. 142-2 et s.|loi n° 89-462 art. 7;détecteur de fumée normalisé|obligation de souffrir les travaux;NOT-0060|NOT-0082;qualite_demandeur;repondre;2;;;
REF-G-27;gestionnaire;Faut-il une alarme incendie collective dans mon immeuble ?;Un équipement d'alarme collective est-il exigé dans les bâtiments d'habitation ?;HAB;—;équipement d'alarme|famille;NOT-0055|NOT-0005;famille_habitation;signaler_absence;2;Réponse d'absence attendue, sauf régimes particuliers (type J, type O).;;
REF-G-28;gestionnaire;À partir de quand faut-il des colonnes sèches ?;À partir de quelle famille les bâtiments sont-ils équipés de colonnes sèches et selon quelles vérifications ?;HAB;arr. 31/01/1986 art. 98;colonne sèche|famille;NOT-0064|NOT-0005;famille_habitation|hauteur_plancher_bas;repondre;2;;;
REF-G-29;gestionnaire;Dois-je mettre des extincteurs dans les parties communes ?;La présence d'extincteurs en parties communes procède-t-elle d'une obligation réglementaire ?;HAB;—;extincteur portatif|référentiel assureur;NOT-0061|NOT-0076;;signaler_absence;2;Item d'absence : la réponse doit renvoyer au contrat d'assurance.;;
REF-G-30;gestionnaire;L'éclairage de sécurité est-il obligatoire dans mes circulations ?;Dans quels cas un éclairage de sécurité équipe-t-il les circulations communes et les escaliers ?;HAB;arr. 31/01/1986 art. 36;éclairage de sécurité|circulation horizontale;NOT-0065|NOT-0037;famille_habitation;demander_precision;2;;;
REF-G-31;gestionnaire;Quelles règles pour mon parking en sous-sol ?;Quelles dispositions régissent les parcs de stationnement couverts liés aux bâtiments d'habitation ?;HAB|ICPE;arr. 31/01/1986 art. 77 et s.|nomenclature ICPE rubrique 2935;parc de stationnement couvert;NOT-0085;surface_local|niveau_local;repondre;2;;;
REF-G-32;gestionnaire;J'installe des bornes de recharge au sous-sol : quelles contraintes ?;Quelles obligations de pré-équipement et prescriptions techniques s'appliquent aux IRVE en parc couvert ?;HAB;CCH L. 113-11 et s.|CCH R. 113-x;infrastructure de recharge pour véhicules électriques|parc de stationnement couvert;NOT-0086|NOT-0085;niveau_local|date_effet;repondre;3;Vérification de version impérative.;;
REF-G-33;gestionnaire;Puis-je interdire les voitures électriques au sous-sol ?;Les restrictions au stationnement de véhicules électriques en infrastructure souterraine sont-elles opposables ?;HAB;—;infrastructure de recharge pour véhicules électriques|référentiel assureur;NOT-0086|NOT-0076;;signaler_non_reglementaire;3;Aucune interdiction réglementaire générale : distinguer préconisation et opposabilité.;;
REF-G-34;gestionnaire;Puis-je interdire la charge des trottinettes dans les logements ?;Quelles prescriptions peuvent régir la charge d'engins électriques dans les logements et locaux communs ?;HAB;règlement sanitaire départemental|loi n° 89-462 art. 4;règlement sanitaire départemental|logement décent;NOT-0088|NOT-0080;;orienter_corpus;3;Réponse contractuelle et sanitaire, non constructive.;;
REF-G-35;gestionnaire;Mes locaux poubelles brûlent régulièrement, quelles exigences ?;Quelles exigences d'isolement et de ventilation s'appliquent aux locaux d'ordures ménagères ?;HAB;arr. 31/01/1986 art. 78 et s.|règlement sanitaire départemental;local d'entreposage des ordures ménagères;NOT-0084;famille_habitation;repondre;2;;;
REF-G-36;gestionnaire;Un défaut de compartimentage rend-il le logement indécent ?;Dans quelle mesure l'obligation de délivrer un logement décent s'étend-elle aux caractéristiques de protection contre l'incendie ?;HAB;loi n° 89-462 art. 6|décret n° 2002-120;logement décent|résistance au feu;NOT-0080|NOT-0020;;orienter_corpus;3;Réponse hors CCH construction.;;
REF-G-37;gestionnaire;Quelles clauses incendie puis-je mettre au bail ?;Quelles stipulations peuvent être régulièrement insérées au contrat de location et lesquelles sont réputées non écrites ?;HAB;loi n° 89-462 art. 4;logement décent|obligation de souffrir les travaux;NOT-0080|NOT-0082;;orienter_corpus;2;;;
REF-G-38;gestionnaire;Puis-je refacturer l'entretien des détecteurs et du désenfumage ?;Quelles dépenses d'entretien des équipements de sécurité figurent au nombre des charges récupérables ?;HAB;décret n° 87-713;charges locatives récupérables|détecteur de fumée normalisé|désenfumage;NOT-0081|NOT-0060|NOT-0048;;orienter_corpus;2;;;
REF-G-39;gestionnaire;Le locataire refuse l'accès pour la vérification, que faire ?;Selon quelles modalités le bailleur peut-il obtenir l'accès au logement pour les travaux nécessaires ?;HAB;loi n° 89-462 art. 7 e);obligation de souffrir les travaux|vérifications techniques;NOT-0082|NOT-0094;;repondre;1;;;
REF-G-40;gestionnaire;Un locataire stocke des bidons sur son balcon, quels leviers ?;Quelles prescriptions régissent l'entreposage de matières dangereuses dans les logements et sur les balcons ?;HAB;règlement sanitaire départemental|CGCT L. 2212-2;règlement sanitaire départemental|pouvoirs de police du maire;NOT-0088|NOT-0087;;orienter_corpus;2;;;
REF-G-41;gestionnaire;Je fais de la location courte durée : ça change quelque chose ?;À partir de quels seuils la location de courte durée fait-elle relever le local d'un autre régime réglementaire ?;HAB|ERP;CCH|GN 1;type d'exploitation|famille;NOT-0001|NOT-0005;;orienter_corpus;3;;;
REF-G-42;gestionnaire;Qui contrôle mes immeubles d'habitation ?;Les bâtiments d'habitation ordinaires sont-ils soumis au contrôle des commissions de sécurité ?;HAB;CGCT L. 2212-2|CCH L. 511-1 et s.;commission de sécurité|pouvoirs de police du maire;NOT-0091|NOT-0087;;signaler_absence;2;Item d'absence majeur.;;
REF-G-43;gestionnaire;Le registre de sécurité est-il obligatoire chez moi ?;La tenue d'un registre de sécurité est-elle exigée dans les bâtiments d'habitation autres que les IGH ?;HAB;—|CCH R. 143-34 (pour les ERP);registre de sécurité;NOT-0093;;signaler_absence;2;Absence + recommandation de traçabilité de fait.;;
REF-G-44;gestionnaire;Quel plan de vérifications périodiques bâtir ?;Quelles installations font l'objet de vérifications périodiques, selon quelles périodicités et par quels organismes ?;HAB;arrêté du 23/02/2018|réglementation ascenseurs|réglementation électrique;vérifications techniques|dispositif de sécurité collective (VMC gaz);NOT-0094|NOT-0053;famille_habitation;repondre;3;Corpus dispersé : la réponse doit l'expliciter.;;
REF-G-45;gestionnaire;Comment prioriser des centaines de réserves ?;Selon quels critères les observations des rapports de vérification sont-elles hiérarchisées ?;HAB;—;rapport de vérification réglementaire|vérifications techniques;NOT-0095|NOT-0094;;orienter_expertise;3;Aucune base réglementaire : méthode d'ingénierie, à qualifier comme telle.;;
REF-G-46;gestionnaire;Que dois-je pouvoir prouver et combien de temps le garder ?;Quels éléments le propriétaire doit-il produire pour justifier de l'exécution de ses obligations ?;HAB;—|droit commun de la preuve;registre de sécurité|vérifications techniques;NOT-0093|NOT-0094;;repondre;3;Intention « que dois-je pouvoir prouver » : format de réponse spécifique.;;
REF-G-47;gestionnaire;Après un incendie : relogement, délais, et puis-je reconstruire à l'identique ?;Quelles obligations de relogement incombent au propriétaire et la reconstruction à l'identique est-elle admise ?;HAB;CCH L. 521-1 et s.|code de l'urbanisme;hébergement et relogement|application aux bâtiments existants;NOT-0083|NOT-0009;date_effet;repondre;2;Question double : la réponse doit traiter les deux volets séparément.;;
REF-G-48;gestionnaire;Que faire dans les premières heures après l'incendie ?;Quelles mesures conservatoires sont prises quant à la préservation des lieux et comment s'articulent expertise et enquête ?;HAB;—|droit commun;hébergement et relogement;NOT-0083;;orienter_expertise;3;Hors corpus réglementaire incendie.;;
REF-G-49;gestionnaire;Ma responsabilité pénale peut-elle être engagée ?;Quels manquements sont susceptibles d'engager la responsabilité pénale du propriétaire ou de ses préposés ?;HAB;code pénal|CCH L. 511-1 et s.;logement décent|pouvoirs de police du maire;NOT-0080|NOT-0087;;repondre;3;Réponse à borner strictement.;;
REF-G-50;gestionnaire;Face aux incendies volontaires répétés, que dois-je faire ?;Quelles mesures de prévention et de surveillance sont regardées comme constitutives de la diligence attendue ?;HAB;—|référentiels assureurs;référentiel assureur|local d'entreposage des ordures ménagères;NOT-0076|NOT-0084;;orienter_expertise;3;Aucune base réglementaire directe.;;
